,idPlateFieldData,SampleName,SiteName,DeployFieldTrip,DateDeploy,DateRemove,DateReplace,DateCollect,CollectFieldTrip,Note
89,89,G100,Chrome Dome,27.0,2009-11-09 15:14:00,,,2010-03-20 12:51:00,32.0,
90,90,G101,Snowman,27.0,2009-11-09 14:55:00,,,2010-03-20 13:09:00,32.0,
91,91,G102,Robin,27.0,2009-11-09 14:48:00,,,2010-03-20 14:08:00,32.0,
92,92,G91,Amidala,29.0,2009-12-22 10:58:00,2010-01-25 11:31:00,2010-01-26 13:53:00,2010-03-13 12:02:00,31.0,
93,93,G98,Stumpys Brother,29.0,2009-12-22 11:10:00,2010-01-25 11:34:00,2010-01-26 13:43:00,2010-03-13 11:58:00,31.0,
94,94,G99,Station 1,29.0,2009-12-22 11:37:00,2010-01-25 11:30:00,2010-01-26 13:37:00,2010-03-13 11:47:00,31.0,
95,95,GC1,Stumpy,29.0,2009-12-22 11:12:00,2010-01-25 11:35:00,2010-01-26 13:42:00,2010-03-13 11:53:00,31.0,
96,96,GC2,Station 2,29.0,2009-12-22 11:37:00,2010-01-25 12:47:00,2010-01-26 13:54:00,2010-03-13 11:44:00,31.0,
97,97,GC3,Trinity,29.0,2009-12-22 12:15:00,2010-01-25 13:39:00,2010-01-26 12:34:00,2010-03-13 11:53:00,31.0,
98,98,GC4,Flatman,29.0,2009-12-22 12:47:00,2010-01-25 12:41:00,2010-01-26 14:05:00,2010-03-13 11:44:00,31.0,
99,99,G122,Station 1,31.0,2010-03-13 11:47:00,2010-04-05 10:33:00,2010-04-06 11:02:00,2010-06-07 10:04:00,35.0,
100,100,G123,Stumpy,31.0,2010-03-13 11:56:00,2010-04-05 10:12:00,2010-04-06 10:45:00,2010-06-07 13:39:00,35.0,
101,101,G124,Amidala,31.0,2010-03-13 12:05:00,2010-04-05 10:14:00,2010-04-06 10:46:00,2010-06-07 09:32:00,35.0,
102,102,G126,Station 2,31.0,2010-03-13 11:45:00,2010-04-05 10:34:00,2010-04-06 11:08:00,2010-06-07 10:01:00,35.0,
103,103,G127,Stumpys Brother,31.0,2010-03-13 12:00:00,2010-04-05 10:13:00,2010-04-06 10:45:00,2010-06-07 09:36:00,35.0,
104,104,G128,Flatman,31.0,2010-03-13 12:55:00,2010-04-05 10:15:00,2010-04-06 11:24:00,2010-05-03 11:50:00,34.0,
105,105,G129,Trinity,31.0,2010-03-13 12:47:00,,,2010-05-03 11:30:00,34.0,
106,106,G120,Snowman,32.0,2010-03-20 14:01:00,,,2010-07-12 15:04:00,37.0,
107,107,G121,Chrome Dome,32.0,2010-03-20 12:55:00,,,2010-07-12 14:45:00,37.0,
108,108,G125,Robin,32.0,2010-03-20 14:10:00,,,2010-07-12 15:18:00,37.0,
109,109,858,Trinity,34.0,2010-05-04 10:59:00,,,2010-06-07 10:31:00,35.0,
110,110,859,Flatman,34.0,2010-05-04 11:23:00,,,2010-06-07 10:46:00,35.0,
111,111,G139,Station 2,35.0,2010-06-08 09:59:00,2010-07-12 11:35:00,2010-07-13 10:51:00,2010-08-16 11:02:00,38.0,
112,112,G140,Stumpys Brother,35.0,2010-06-08 09:30:00,2010-07-12 11:19:00,2010-07-13 10:18:00,2010-08-16 10:34:00,38.0,
113,113,G142,Trinity,35.0,2010-06-08 10:45:00,2010-07-12 12:12:00,2010-07-13 11:31:00,2010-08-16 11:37:00,38.0,
114,114,G148,Stumpy,35.0,2010-06-08 09:29:00,2010-07-12 11:17:00,2010-07-13 10:20:00,2010-08-16 10:33:00,38.0,
115,115,G151,Flatman,35.0,2010-06-08 11:05:00,2010-07-12 12:30:00,2010-07-13 11:09:00,2010-08-16 11:57:00,38.0,
116,116,G152,Station 1,35.0,2010-06-08 09:59:00,2010-07-12 11:37:00,2010-07-13 10:50:00,2010-08-16 11:02:00,38.0,
117,117,G154,Amidala,35.0,2010-06-08 09:31:00,2010-07-12 11:25:00,2010-07-13 10:16:00,2010-08-16 10:35:00,38.0,
118,118,857,Chrome Dome,37.0,2010-07-12 14:47:00,,,2010-09-27 15:25:00,40.0,
119,119,G145,Robin,37.0,2010-07-12 15:21:00,,,2010-09-27 15:54:00,40.0,
120,120,G146,Snowman,37.0,2010-07-12 15:06:00,,,2010-09-27 15:40:00,40.0,
121,121,G130,Flatman,38.0,2010-08-17 11:20:00,2010-09-27 14:07:00,2010-09-28 11:24:00,2010-10-25 13:42:00,41.0,
122,122,G131,Trinity,38.0,2010-08-17 10:58:00,2010-09-27 13:51:00,2010-09-28 11:00:00,2010-10-25 13:30:00,41.0,
123,123,G134,Station 1,38.0,2010-08-17 10:23:00,2010-09-27 12:42:00,2010-09-28 10:21:00,2010-10-25 12:33:00,41.0,
124,124,G136,Station 2,38.0,2010-08-17 10:26:00,2010-09-27 12:51:00,2010-09-28 10:19:00,2010-10-25 12:33:00,41.0,
125,125,G137,Amidala,38.0,2010-08-17 10:09:00,2010-09-27 13:02:00,2010-09-28 09:57:00,2010-10-25 12:57:00,41.0,
126,126,G149,Stumpy,38.0,2010-08-17 10:08:00,2010-09-27 12:59:00,2010-09-28 09:55:00,2010-10-25 12:59:00,41.0,
127,127,G153,Stumpys Brother,38.0,2010-08-17 10:08:00,2010-09-27 13:00:00,2010-09-28 09:56:00,2010-10-25 12:55:00,41.0,
128,128,G133,Robin,40.0,2010-09-27 15:59:00,,,2010-11-22 14:59:00,43.0,
129,129,G135,Chrome Dome,40.0,2010-09-27 15:28:00,,,2010-11-22 14:39:00,43.0,
130,130,G143,Snowman,40.0,2010-09-27 15:48:00,,,2010-11-22 14:48:00,43.0,
131,131,G132,Stumpy,41.0,2010-10-26 10:01:00,2010-11-22 10:09:00,2010-11-23 10:03:00,2010-12-20 09:26:00,44.0,
132,132,G141,Station 1,41.0,2010-10-26 10:23:00,2010-11-22 10:50:00,2010-11-23 10:34:00,2010-12-20 09:12:00,44.0,
133,133,G144,Amidala,41.0,2010-10-26 10:04:00,2010-11-22 10:21:00,2010-11-23 10:10:00,2010-12-20 09:24:00,44.0,
134,134,G147,Station 2,41.0,2010-10-26 10:22:00,2010-11-22 10:42:00,2010-11-23 10:38:00,2010-12-20 09:14:00,44.0,
135,135,G150,Stumpys Brother,41.0,2010-10-26 10:03:00,2010-11-22 10:12:00,2010-11-23 10:03:00,2010-12-20 09:25:00,44.0,
136,136,G155,Trinity,41.0,2010-10-26 10:42:00,2010-11-22 11:17:00,2010-11-23 11:54:00,2010-12-20 10:11:00,44.0,
137,137,G163,Flatman,41.0,2010-10-26 11:20:00,2010-11-22 11:48:00,2010-11-23 12:14:00,2010-12-20 09:57:00,44.0,
138,138,G159,Robin,43.0,2010-11-22 15:00:00,,,2011-04-06 13:34:00,48.0,
139,139,G160,Chrome Dome,43.0,2010-11-22 14:40:00,,,2011-04-06 13:18:00,48.0,
140,140,G162,Snowman,43.0,2010-11-22 14:49:00,,,2011-04-06 13:28:00,48.0,
141,141,G138,Station 1,44.0,2010-12-21 10:38:00,2011-01-24 09:19:00,2011-01-25 10:40:00,2011-02-21 09:10:00,46.0,
142,142,G156,Stumpy,44.0,2010-12-21 10:27:00,2011-01-24 08:56:00,2011-01-25 10:21:00,2011-02-21 08:51:00,46.0,
143,143,G157,Stumpys Brother,44.0,2010-12-21 10:27:00,2011-01-24 08:57:00,2011-01-25 10:20:00,2011-02-21 08:53:00,46.0,
144,144,G161,Station 2,44.0,2010-12-21 10:39:00,2011-01-24 09:20:00,2011-01-25 10:41:00,2011-02-21 09:11:00,46.0,
145,145,G164,Flatman,44.0,2010-12-21 11:13:00,2011-01-24 10:02:00,2011-01-25 10:55:00,2011-02-21 09:33:00,46.0,
146,146,G165,Trinity,44.0,2010-12-21 11:05:00,2011-01-24 09:48:00,2011-01-25 11:11:00,2011-02-21 09:46:00,46.0,
147,147,G166,Amidala,44.0,2010-12-21 10:28:00,2011-01-24 08:58:00,2011-01-25 10:22:00,2011-02-21 08:55:00,46.0,
148,148,G167,Station 1,46.0,2011-02-22 09:45:00,2011-03-28 09:59:00,2011-03-29 11:25:00,2011-04-25 09:37:00,49.0,
149,149,G169,Amidala,46.0,2011-02-22 09:21:00,2011-03-28 09:39:00,2011-03-29 11:10:00,2011-04-25 09:25:00,49.0,
150,150,G170,Stumpys Brother,46.0,2011-02-22 09:17:00,2011-03-28 09:38:00,2011-03-29 11:09:00,2011-04-25 09:19:00,49.0,
