,idPlateInitialWeight,SampleName,idPlateStandardWeight,WorkerName,InitialWeight
409,409,G406,158,,52.1929
410,410,G407,158,,53.33027
411,411,G408,158,,52.76454
412,412,G409,159,,53.82443
413,413,G410,159,,54.82881
414,414,G411,159,,54.36498
415,415,G412,159,,54.2962
416,416,G413,159,,55.29871
417,417,G414,164,,55.0965
418,418,G415,164,,55.03291
419,419,G416,164,,55.33584
420,420,G417,164,,55.28932
421,421,G418,164,,55.19768
422,422,G419,165,,56.4601
423,423,G420,165,,55.63611
424,424,G421,165,,55.89592
425,425,G422,165,,55.70832
426,426,G423,165,,54.88179
427,427,G424,166,,55.23855
428,428,G425,166,,55.50796
429,429,G426,166,,54.83754
430,430,G427,166,,55.59082
431,431,G428,166,,55.98953
432,432,G429,167,,55.57924
433,433,G430,167,,54.8036
434,434,G431,167,,54.74863
435,435,G432,167,,53.99772
436,436,G433,167,,54.42304
